icao,regid,mdl,type,operator
44a838,oo-jax,b738,Boeing 737-8K5,Jetairfly
44a839,oo-jay,b738,Boeing 737-8K5,Jetairfly
44a847,oo-jbg,b738,Boeing 737-8K5,Jetairfly
44a84d,oo-jbm,be36,Beech A36 Bonanza,Private owner
44a876,oo-jcv,pc12,,
44a882,oo-jdb,pa46,Piper PA46R-350T Malibu Matrix,Private owner
44a88c,oo-jdl,b788,Boeing 787-8 Dreamliner,Jetairfly
44a8a2,oo-jeb,e190,Embraer ERJ-190,Jetairfly
44a8a5,oo-jee,c208,Cessna 208B Grand Caravan,Private owner
44a8a6,oo-jef,b738,Boeing 737-8K5,Jetairfly
44a8ad,oo-jem,e190,Embraer ERJ-190,Jetairfly
44a8b4,oo-jet,pa28,Piper PA-28-161 Warrior III,Brussels Aviation School
44a8d4,oo-jft,sr20,Cirrus SR-20,Private owner
44a949,oo-jji,b737,Boeing 737-752,ECAir
44a96d,oo-jkm,be33,Beech F33A Bonanza,Diamond Flight BVBA
44a98f,oo-jlo,b738,Boeing 737-8K5,Jetairfly
44a9cc,oo-jnl,b763,Boeing 767-304,Jetairfly
44a9f3,oo-jos,b737,Boeing 737-7K5,Jetairfly
44aac1,oo-jva,e190,Embraer ERJ-190,Jetairfly
44aef3,oo-kws,c152,Cessna	152,Private owner
44aef4,oo-kwt,c172,Cessna 172N Skyhawk,Aero-Kiewit V.Z.W.
44b023,oo-lac,be20,Beech B200C Super King Air,Abelag Aviation
44b024,oo-lad,be65,Beechcraft King Air 65-A90-1 (,Private owner
44b0b4,oo-let,be20,Beech B200 Super King Air,Air Service Liege
44b28d,oo-ltm,b733,Boeing 737-3M8,Korongo Airlines
44b2c1,oo-lva,c172,Cessna 172S Skyhawk SP,Private owner
44b2ca,oo-lvj,c152,Cessna	152,Private owner
44b2d4,oo-lvt,m20p,Mooney M-20J,Private owner
44b434,oo-mat,da40,Diamond DA40 Diamond Star,Private owner
44b54b,oo-mjk,be36,Beech A36 Bonanza,Private owner
44b586,oo-mlf,pa34,Piper PA34-200T Seneca II,Private owner
44b5ed,oo-mom,ac11,Commander 114B,Private owner
44b827,oo-nag,p06t,Tecnam P2006T,Private owner
44b8b9,oo-ney,e545,Embraer EMB-545 Legacy 450,Air Service Liege
44b8e9,oo-ngi,e190,Embraer Lineage 1000,Flying Service
44b906,oo-nhf,expl,MD-900 Explorer,Noordzee Helikopters Vlaandere
44b909,oo-nhi,expl,MD-900 Explorer,Noordzee Helikopters Vlaandere
44b90a,oo-nhj,ec55,Eurocopter EC-155B1,Noordzee Helikopters Vlaandere
44b90b,oo-nhk,ec55,Eurocopter EC155 B1,Noordzee Helikopters
44b90c,oo-nhl,expl,MD-900 Explorer,NHV Noordzee Helikopters Vlaan
44b90d,oo-nhm,ec55,Eurocopter EC-155B1,Noordzee Helikopters Vlaandere
44b910,oo-nhp,ec55,Eurocopter EC-155B1,Noordzee Helikopters Vlaandere
400d3a,g-atsz,pa30,Piper PA-30-160 Twin Comanche,Private Owner
44b914,oo-nht,ec55,Eurocopter EC-155 B1,Noordzee Helikopters Vlaandere
44b915,oo-nhu,as65,Eurocopter AS365 N3 Dauphin 2,Noordzee Helikopters Vlaandere
44b916,oo-nhv,as65,Eurocopter AS365 N3 Dauphin 2,Noordzee Helikopters Vlaandere
44b918,oo-nhx,as65,Eurocopter AS365 N3 Dauphin 2,Private owner
