icao,regid,mdl,type,operator
00d3d0,zu-ntc,rv7,Amateur Vans RV-7A,Private owner
00d40a,zu-ich,jab4,Jabiru J430,Private owner
00d455,zu-fxs,rv7,Amateur Vans RV-7A,Private owner
00d566,zu-ify,d2sl,The Airplane Factory Sling 2,Private owner
00d8e9,zu-fmh,rv9,Amateur Vans RV-9A,Private owner
00d932,zu-pjl,rv10,Amateur Vans RV-10,Private Owner
00dd37,zu-fvy,rv7,Amateur Vans RV-7A,Private owner
00ddeb,zu-joc,rv10,Amateur Vans RV-10,Private owner
00df7a,zu-igx,jab4,Shadow Lite CC Jabiru J430,African Renaissance Production
00dfc7,zu-ads,d4sl,The Airplane Factory Sling 4,Private owner
00e0aa,zu-jvr,rv10,Amateur Vans RV-10,Private owner
00e52f,zu-fni,rv10,Amateur Vans RV-10,Private owner
00eb85,zu-xml,rav5,Ravin 500,Private owner
00f0e0,pr-axm,ec55,Eurocopter EC155 B1,Private owner
00f475,zu-xdm,zzzz,Ahrlac Light Aircraft,Private owner
00f67d,zu-iab,rv10,Amateur Vans RV-10,Private owner
00fb76,zu-jjc,jab4,Jabiru J430,Private owner
00fc4b,zu-ibe,jab2,Jabiru J170,Private owner
010000,00000000,0000,Unknown / Various,Code used by several aircraft
010009,su-gas,a306,Airbus A300B4-622R,EgyptAir Cargo
01000f,su-gay,a306,Airbus A300B4-622R,EgyptAir Cargo
010011,su-gba,a320,Airbus A320-231,Egyptair
010013,su-gbc,a320,Airbus A320-231,Egyptair
010014,su-gbd,a320,Airbus A320-231,Egyptair
010015,su-gbe,a320,Airbus A320-231,Egyptair
010016,su-gbf,a320,Airbus A320-231,Air Go Airlines
010017,su-gbg,a320,Airbus A320-231,Egyptair
010018,su-gbh,b735,Boeing 737-566,Egyptair
01001a,su-gbj,b735,Boeing 737-566,Aviator
01001b,su-gbk,b735,Boeing 737-566,Egyptair
01001d,su-gcl,a320,Airbus A320-231,Air Go Airlines
010024,su-ggg,a342,Airbus A340-212,Arab Republic of Egypt
010025,su-gbm,a342,Airbus A340-212,Air Leisure
010026,su-gbn,a342,Airbus A340-212,Air Leisure
010027,su-gbo,a342,Airbus A340-212,Air Leisure
01002a,su-gbs,b772,Boeing 777-266ER,Egyptair
01002c,su-gbt,a321,Airbus A321-231,Egyptair
01002d,su-gbu,a321,Airbus A321-231,Egyptair
01002e,su-gbv,a321,Airbus A321-231,Egyptair
01002f,su-gbw,a321,Airbus A321-231,Egyptair
010039,su-gac,a30b,Airbus A300B4-203F,EgyptAir Cargo
010049,su-eaf,t204,Tupolev TU204-120S,Cairo Aviation
01004a,su-eai,t204,Tupolev TU204-120S,Cairo Aviation
010060,su-bmz,a30b,Airbus A300B4-203F,Tristar Air
01006f,su-bgu,glf3,Gulfstream III,Egyptian Government
010071,su-bkv,b190,Beech 1900C-1,Egyptian Air Force
010074,su-bla,b190,,Egyptian Air Force
010090,su-gbz,a320,Airbus A320-232,Egyptair
010091,su-gca,a320,Airbus A320-232,Egyptair
010092,su-gcb,a320,Airbus A320-232,Egyptair
010093,su-gcc,a320,Airbus A320-232,Egyptair
010094,su-gcd,a320,Airbus A320-232,Air Cairo
0100a2,su-gce,a332,Airbus A330-243,Egyptair
0100a3,su-gcf,a332,Airbus A330-243,Egyptair
0100a4,su-gcg,a332,Airbus A330-243,Egyptair
0100a5,su-gch,a332,Airbus A330-243,Egyptair
0100a6,su-gci,a332,Airbus A330-243,Air Nigeria
0100a7,su-gcj,a332,Airbus A330-243,Egyptair
0100a8,su-gck,a332,Airbus A330-243,Egyptair
0100db,su-gcm,b738,Boeing 737-866,Egyptair
0100dc,su-gcn,b738,Boeing 737-866,Egyptair
0100dd,su-gco,b738,Boeing 737-866,Egyptair
0100de,su-gcp,b738,Boeing 737-866,Egyptair
0100df,su-gcr,b738,Boeing 737-866,Egyptair
0100e0,su-gcs,b738,Boeing 737-866,Egyptair
0100e2,su-cbn,dh8c,Bombardier Dash 8 Q300,Petroleum Air Services
0100e3,su-mmn,b350,Beech 300 Super King Air 350,Private owner
0100e4,su-bpu,a320,Airbus A320-214,Air Cairo
0100e5,su-bpv,a320,Airbus A320-214,Air Cairo
0100e6,su-bpw,a320,Airbus A320-214,Air Cairo
0100e7,su-bpx,a320,Airbus A320-214,Air Cairo
0100eb,su-khm,b735,Boeing 737-5C9,Dana Air
0100ec,su-gct,e170,Embraer ERJ-170,EgyptAir Express
0100ed,su-gcu,e170,Embraer ERJ-170,EgyptAir Express
0100ee,su-gcv,e170,Embraer ERJ-170,EgyptAir Express
0100ef,su-gcw,e170,Embraer ERJ-170,EgyptAir Express
0100f0,su-gcx,e170,Embraer ERJ-170,EgyptAir Express
0100f1,su-gcy,e170,Embraer ERJ-170,EgyptAir Express
0100f5,su-smc,c680,Cessna 680 Citation Sovereign,Smart Aviation
0100f6,su-bpz,b738,Boeing 737-86N,AMC Aviation
0100fe,su-smd,c680,Cessna 680 Citation Sovereign,Smart Aviation
0100ff,su-sme,c680,Cessna 680 Citation Sovereign,Smart Aviation
010102,su-gdf,e170,Embraer ERJ-170,EgyptAir Express
010103,su-gdg,e170,Embraer ERJ-170,EgyptAir Express
010104,su-gdh,e170,Embraer ERJ-170,Egyptair Express
010105,su-gdi,e170,Embraer ERJ-170,Egyptair Express
010106,su-gdj,e170,Embraer ERJ-170,Egyptair Express
010107,su-gdk,e170,Embraer ERJ-170,EgyptAir Express
010108,su-gcz,b738,Boeing 737-866,Egyptair
010109,su-gda,b738,Boeing 737-866,Egyptair
01010a,su-gdb,b738,Boeing 737-866,Egyptair
01010b,su-gdc,b738,Boeing 737-866,Egyptair
01010c,su-gdd,b738,Boeing 737-866,Egyptair
01010d,su-gde,b738,Boeing 737-866,Egyptair
010116,su-bqb,a320,Airbus A320-232,Nile Air
010117,su-bqc,a320,Airbus A320-232,Nile Air
01012a,su-gdl,b77w,Boeing 777-36N,Egyptair
01012b,su-gdm,b77w,Boeing 777-36N,Egyptair
010137,su-brf,c680,Cessna 680 Citation Sovereign,Egyptian Government
01013b,su-aab,a320,Airbus A320-214,Air Arabia Egypt
01013c,su-gdn,b77w,Boeing 777-36N,Egyptair
01013d,su-gdo,b77w,Boeing 777-36N,Egyptair
010140,su-nma,a320,Airbus A320-232,Nesma Airlines
010141,su-nmb,a320,Airbus A320-232,Nesma Airlines
010143,su-gds,a333,Airbus A330-343,Egyptair
010144,su-gdx,b738,Boeing 737-866,Egyptair
010145,su-gdy,b738,Boeing 737-866,Egyptair
010146,su-gdz,b738,Boeing 737-866,Egyptair
010147,su-gea,b738,Boeing 737-866,Egyptair
010153,su-gdp,b77w,Boeing 777-36N,Egyptair
010154,su-gdr,b77w,Boeing 777-36N,Egyptair
01015c,su-gdt,a333,Airbus A330-343,Egyptair
01015d,su-gdu,a333,Airbus A330-343,Egyptair
01015e,su-gdv,a333,Airbus A330-343,Egyptair
010160,su-geb,b738,Boeing 737-866,Egyptair
010161,su-gec,b738,Boeing 737-866,Egyptair
010162,su-ged,b738,Boeing 737-866,Egyptair
010163,su-gee,b738,Boeing 737-866,Egyptair
010169,su-cby,crj9,Canadair CRJ-900,Petroleum Air Services
01017a,su-tcd,a321,Airbus A321-231,AlMasria Universal Airlines
01017b,su-nmc,a320,Airbus A320-232,Nesma Airlines
01018d,su-tce,a320,Airbus A320-232,AlMasria Universal Airlines
010193,su-bsm,a320,Airbus A320-214,Air Cairo
010194,su-bsn,a320,Airbus A320-214,Air Cairo
010195,su-tcf,a320,Airbus A320-232,Almasria Universal Airlines
010196,su-tcg,a321,Airbus A321-211,AlMasria Universal Airlines
010199,su-tmg,b738,Boeing 737-86J,FlyEgypt
0101a4,su-ccb,crj9,Canadair CRJ-900,Petroleum Air Services
0101a5,su-bqj,a320,Airbus A320-232,Nile Air
0101a7,su-bqk,a320,Airbus A320-214,Nile Air
0101a8,su-tmh,b738,Boeing 737-8GJ,FlyEgypt
012320,pt-zvr,rv7,Amateur Vans RV-7A,Private owner
016600,i-b166,kp5,Skyleader 500,Private owner
01801f,5a-dmg,b738,Boeing 737-8GK,Buraq Air
01802e,5a-ona,a320,Airbus A320-214,Afriqiyah Airways
01802f,5a-onb,a320,Airbus A320-214,Afriqiyah Airways
018034,5a-onc,a319,Airbus A319-111,Afriqiyah Airways
018035,5a-ond,a319,Airbus A319-111,Afriqiyah Airways
018045,5a-lad,crj9,Canadair CRJ-900,Libyan Airlines
01804f,5a-ghv,be30,Beech 300 Super King Air,Private owner
018052,5a-dlx,dh8c,Bombardier Dash 8 Q300,Petro Air
01805d,5a-paa,e170,Embraer ERJ-170,Petro Air
01805e,5a-pab,e170,Embraer ERJ-170,Petro Air
018061,5a-lah,a320,Airbus A320-214,Libyan Airlines
018069,5a-wac,b734,Boeing 737-4B6,Buraq Air
01806b,5a-lak,a320,Airbus A320-214,Libyan Airlines
018070,5a-ono,a320,Airbus A320-214,Afriqiyah Airways
018078,5a-lap,a320,Airbus A320-214,Libyan Airlines
01807a,5a-laq,a320,Airbus A320-214,Libyan Airlines
01807b,5a-lar,a332,Airbus A330-202,Libyan Airlines
01807f,5a-lat,a332,Airbus A330-202,Libyan Airlines
018083,5a-wat,a320,Airbus A320-214,Ghadames Air Transport
018085,5a-lau,a332,Airbus A330-202,Libyan Airlines
018086,5a-wla,a319,Airbus A319-112,Libyan Wings
020002,pr-sdu,b734,Boeing 737-4B6,Sideral Air Cargo
02000f,cn-rga,b744,Boeing 747-428,Royal Air Maroc
020017,cn-rnj,b738,Boeing 737-8B6,Royal Air Maroc
020018,cn-rnk,b738,Boeing 737-8B6,Royal Air Maroc
02001b,cn-rnl,b737,Boeing 737-7B6,Royal Air Maroc
02001c,cn-rnm,b737,Boeing 737-7B6,Royal Air Maroc
020025,cn-rnp,b738,Boeing 737-8B6,Royal Air Maroc
020026,cn-rnq,b737,Boeing 737-7B6,Royal Air Maroc
020027,cn-rnr,b737,Boeing 737-7B6,Royal Air Maroc
020042,cn-rns,b763,Boeing 767-3N6,Royal Air Maroc
020043,cn-rnt,b763,Boeing 767-36N,Royal Air Maroc
020044,cn-rnu,b738,Boeing 737-8B6,Royal Air Maroc
020045,cn-rnv,b737,Boeing 737-7B6,Royal Air Maroc
020053,cn-rnw,b738,Boeing 737-8B6,Royal Air Maroc
020057,cn-rnz,b738,Boeing 737-8B6,Royal Air Maroc
020058,cn-roa,b738,Boeing 737-8B6,Royal Air Maroc
02005a,cn-rob,b738,Boeing 737-8B6,Royal Air Maroc
02005b,cn-roc,b738,Boeing 737-8B6,Royal Air Maroc
020065,cn-rod,b737,Boeing 737-7B6,Royal Air Maroc
020066,cn-roe,b738,Boeing 737-8B6,Royal Air Maroc
02006e,cn-roj,b738,Boeing 737-85P,Royal Air Maroc
02006f,cn-roh,b738,Boeing 737-85P,Royal Air Maroc
020072,cn-rol,b738,Boeing 737-8B6,Royal Air Maroc
020073,cn-rok,b738,Boeing 737-8B6,Royal Air Maroc
02007a,cn-rop,b738,Boeing 737-8B6,Royal Air Maroc
02007b,cn-nmf,a320,Airbus A320-214,Air Arabia Maroc
02007d,cn-ror,b738,Boeing 737-8B6,Royal Air Maroc
02008b,cn-ros,b738,Boeing 737-8B6,Royal Air Maroc
020090,cn-rov,b763,Boeing 767-3Q8,Royal Air Maroc
020092,cn-rot,b738,Boeing 737-8B6,Royal Air Maroc
020095,cn-rou,b738,Boeing 737-8B6,Royal Air Maroc
02009f,cn-row,b763,Boeing 767-343,Royal Air Maroc
0200a1,cn-rox,b733,Boeing 737-3M8,Royal Air Maroc Cargo
0200a2,cna-mp,c27j,Alenia C-27J Spartan,Royal Moroccan Air Force
0200a5,cna-mq,c27j,Alenia C-27J Spartan,Royal Moroccan Air Force
0200ae,cn-roy,b738,Boeing 737-8B6,Royal Air Maroc
0200af,cn-roz,b738,Boeing 737-8B6,Royal Air Maroc
0200ca,cn-rgc,b788,Boeing 787-8 Dreamliner,Royal Air Maroc
0200cb,cn-rgb,b788,Boeing 787-8 Dreamliner,Royal Air Maroc
0200cc,cn-mvi,b738,Boeing 737-8KB BBJ,Royal Morroccan Air Force
0200de,cn-shs,e190,Embraer Lineage 1000,Dalia Air
0200e1,cn-cpc,b350,Beech 300 Super King Air 350C,Private owner
0200e8,cn-rge,b738,Boeing 737-86N,Royal Air Maroc
0200ea,cn-rgg,b738,Boeing 737-86N,Royal Air Maroc
0200eb,cn-rgf,b738,Boeing 737-86N,Royal Air Maroc
0200ec,cn-rgi,b738,Boeing 737-86N,Royal Air Maroc
0200ed,cn-rgh,b738,Boeing 737-86N,Royal Air Maroc
0200ef,cn-rge,b738,Boeing 737-86N,Royal Air Maroc
0200f2,cn-coe,at76,ATR 72-600,Royal Air Maroc Express
0200f5,cn-cof,at76,ATR 72-600,Royal Air Maroc Express
0200f8,cn-rgj,b738,Boeing 737-8B6,Royal Air Maroc
0200fb,cn-rgk,b738,Boeing 737-8B6,Royal Air Maroc
020100,cn-coh,at76,ATR 72-600,Royal Air Maroc Express
020101,cn-cog,at76,ATR 72-600,Royal Air Maroc Express
020104,cn-rgm,b738,Boeing 737-8B6,Royal Air Maroc
020105,cn-rgn,b738,Boeing 737-8B6,Royal Air Maroc
020108,cn-nmg,a320,Airbus A320-214,Air Arabia Maroc
02010d,cn-nmh,a320,Airbus A320-214,Air Arabia Maroc
02010e,cn-coi,at76,ATR 72-600,Royal Air Maroc Express
020110,cn-rgo,e190,Embraer ERJ-190AR,Royal Air Maroc
020111,cn-rgp,e190,Embraer ERJ-190AR,Royal Air Maroc
020112,cn-rgq,e190,Embraer ERJ-190AR,Royal Air Maroc
020113,cn-rgr,e190,Embraer ERJ-190AR,Royal Air Maroc
020116,cn-hak,a139,AgustaWestland AW139,Heliconia Offshore Helicopters
020117,cn-haw,a139,AgustaWestland AW139,Heliconia
020119,cn-nmi,a320,Airbus A320-214,Air Arabia Maroc
025001,ty-abc,a139,AgustaWestland AW139,Societe Beninoise des Hydrocar
02a0ac,ts-ifm,a332,Airbus  A330-243,Tunisair
02a0ad,ts-ifn,a332,Airbus A330-243,Tunisair
02a182,ts-imc,a320,Airbus A320-211,Tunisair
02a183,ts-imd,a320,Airbus A320-211,Tunisair
02a184,ts-ime,a320,Airbus A320-211,Tunisair
02a185,ts-imf,a320,Airbus A320-211,Tunisair
02a186,ts-img,a320,Airbus A320-211,Tunisair
02a187,ts-imh,a320,Airbus A320-211,Tunisair
02a188,ts-imi,a320,Airbus A320-211,Tunisair
02a189,ts-imj,a319,Airbus A319-114,Tunisair
02a18a,ts-imk,a319,Airbus A319-114,Tunisair
02a18b,ts-iml,a320,Airbus A320-211,Tunisair
02a18c,ts-imm,a320,Airbus A320-211,Tunisair
02a18d,ts-imn,a320,Airbus A320-211,Tunisair
02a18e,ts-imo,a319,Airbus A319-114,Tunisair
02a18f,ts-imp,a320,Airbus A320-214,Tunisair
02a190,ts-imq,a319,Airbus A319-112,Tunisair
02a191,ts-imr,a320,Airbus A320-214,Tunisair
02a192,ts-ims,a320,Airbus A320-214,Tunisair
02a193,ts-imt,a320,Airbus A320-214,Tunisair
02a194,ts-imu,a320,Airbus A320-214,Tunisair
02a195,ts-imv,a320,Airbus A320-214,Tunisair
02a196,ts-imw,a320,Airbus A320-214,Tunisair
02a1a0,ts-ina,a320,Airbus A320-214,Nouvelair Tunisie
02a1a1,ts-inb,a320,Airbus A320-214,Nouvelair Tunisie
02a1a2,ts-inc,a320,Airbus A320-214,Nouvelair Tunisie
02a1a5,ts-inf,a320,Airbus A320-212,Nouvelair Tunisie
02a1a7,ts-inh,a320,Airbus A320-214,Nouvelair Tunisie
02a1ae,ts-ino,a320,Airbus A320-214,Nouvelair Tunisie
02a1af,ts-inp,a320,Airbus A320-214,Nouvelair Tunisie
02a1b0,ts-inq,a320,Airbus A320-214,Nouvelair Tunisie
02a1b1,ts-inr,a320,Airbus A320-214,Nouvelair Tunisie
02a1b2,ts-ins,a320,Airbus A320-232,Nouvelair Tunisie
02a1ca,ts-iok,b736,Boeing 737-6H3,Tunisair
02a1cb,ts-iol,b736,Boeing 737-6H3,Tunisair
02a1cc,ts-iom,b736,Boeing 737-6H3,Tunisair
02a1cd,ts-ion,b736,Boeing 737-6H3,Tunisair
02a1ce,ts-ioo,b737,Boeing 737-7H3,Government of Algeria
02a1cf,ts-iop,b736,Boeing 737-6H3,Tunisair
02a1d0,ts-ioq,b736,Boeing 737-6H3,Tunisair
02a1d1,ts-ior,b736,Boeing 737-6H3,Tunisair
02a240,ts-isa,crj9,Canadair CRJ-900,Tunisair Express
02ac23,ts-lbd,at75,ATR 72-500,Tunisair Express
02ac24,ts-lbe,at75,ATR 72-500,Tunisair Express
030001,a2-abn,at45,ATR 42-500,Air Botswana
030003,a2-abp,at45,ATR 42-500,Air Botswana
03000f,a2-abr,at75,ATR 72-500,Air Botswana
030010,a2-abs,at75,ATR 72-500,Air Botswana
034044,tj-qca,b737,Boeing 737-7BD,Camair-Co
034066,tj-qcb,b737,Boeing 737-7BD,Camair-Co
034f35,tj-cac,b763,Boeing 767-33A,Camair-Co
038431,tu-tsa,a319,Airbus A319-111,Air Cote d'Ivoire
038432,tu-tsb,a319,Airbus A319-111,Air Cote d'Ivoire
03843e,tu-tsn,a319,Airbus A319-112,Air Cote d'Ivoire
03e00a,tr-kpr,b772,Boeing 777-236,Republic Of Gabon
03e021,tr-aem,b350,Beech 300 Super King Air 350,Private owner
040001,et-ajs,b752,Boeing 757-260PF,Ethiopian Airlines
040002,et-ajx,b752,Boeing 757-260,Ethiopian Airlines
04000b,et-alh,b763,Boeing 767-3BG,United Nations
04000e,et-alj,b763,Boeing 767-360,Ethiopian Airlines
04000f,et-alk,b737,Boeing 737-760,Ethiopian Airlines
040011,et-aok,b737,Boeing 737-790,Asky Airlines
040013,et-alm,b737,Boeing 737-760,Ethiopian Airlines
040014,et-aln,b737,Boeing 737-760,Ethiopian Airlines
040015,et-alo,b763,Boeing 767-360,Ethiopian Airlines
040016,et-alp,b763,Boeing 767-360,Ethiopian Airlines
04001a,et-alz,b752,Boeing 757-231,Ethiopian Airlines
04001c,et-amf,b763,Boeing 767-3BG,Ethiopian Airlines
04001d,et-amg,b763,Boeing 767-3BG,Ethiopian Airlines
04001e,et-amk,b752,Boeing 757-28A,Ethiopian Airlines
040022,et-amt,b752,Boeing 757-23N,Ethiopian Airlines
040023,et-amu,b752,Boeing 757-23N,Ethiopian Airlines
040029,et-ang,b737,Boeing 737-7K9,Asky Airlines
04002b,et-ani,dh8d,Bombardier Dash 8 Q400,Ethiopian Airlines
04002f,et-ann,b77l,Boeing 777-260,Ethiopian Airlines
040030,et-ano,b77l,Boeing 777-260,Ethiopian Airlines
040031,et-anp,b77l,Boeing 777-260,Ethiopian Airlines
040032,et-anq,b77l,Boeing 777-260,Ethiopian Airlines
040033,et-anr,b77l,Boeing 777-260,Ethiopian Airlines
040039,et-anz,b738,Boeing 737-8HO,Ethiopian Airlines
04003a,et-aoa,b738,Boeing 737-8HO,Ethiopian Airlines
04003b,et-aob,b738,Boeing 737-8HO,Ethiopian Airlines
040045,et-aoo,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
040046,et-aop,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
040047,et-aoq,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
040048,et-aor,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
040049,et-aos,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
04004a,et-aot,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
04004b,et-aou,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
04004c,et-aov,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
040056,et-apf,b738,Boeing 737-860,Ethiopian Airlines
04005b,et-apk,b738,Boeing 737-860,Ethiopian Airlines
04005c,et-apl,b738,Boeing 737-860,Malawian Airlines
04005d,et-apm,b738,Boeing 737-860,Ethiopian Airlines
04005e,et-apo,b738,Boeing 737-860,Ethiopian Airlines
040060,et-aps,b77l,Boeing 777-F6N,Ethiopian Cargo
040062,et-apu,b77l,Boeing 777-F6N,Ethiopian Cargo
040065,et-apx,b77w,Boeing 777-36N,Ethiopian Airlines
040066,et-apy,b77w,Boeing 777-36N,Ethiopian Airlines
040069,et-aqb,dh8d,Bombardier Dash 8 Q400,Malawian Airlines
04006c,et-aqe,dh8d,Bombardier Dash 8 Q400,Asky Airlines
04006e,et-aqg,b763,Boeing 767-306,Ethiopian Airlines
040075,et-aql,b77l,Boeing 777-260,Ethiopian Airlines
040076,et-aqm,b738,Boeing 737-860,Ethiopian Airlines
040077,et-aqn,b738,Boeing 737-860,Ethiopian Airlines
040078,et-aqo,b738,Boeing 737-860,Ethiopian Airlines
040079,et-aqp,b738,Boeing 737-860,Ethiopian Airlines
04007a,et-aqq,b738,Boeing 737-860,Ethiopian Airlines
040085,et-arb,b737,Boeing 737-7Q8,Ethiopian Airlines
040086,et-ard,b737,Boeing 737-7Q8,Ethiopian Airlines
040087,et-are,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
040088,et-arf,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
04008a,et-arh,b77l,Boeing 777-F60,Ethiopian Cargo
04008b,et-ari,b77l,Boeing 777-F60,Ethiopian Cargo
04008c,et-arj,b77l,Boeing 777-F60,Ethiopian Cargo
04008d,et-ark,b77l,Boeing 777-F60,Ethiopian Cargo
040101,et-asg,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
040102,et-ash,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
040103,et-asi,b788,Boeing 787-8 Dreamliner,Ethiopian Airlines
040104,et-asj,b738,Boeing 737-860,Ethiopian Airlines
040105,et-ask,b77w,Boeing 777-360,Ethiopian Airlines
040106,et-asl,b77w,Boeing 777-360,Ethiopian Airlines
04200a,3c-ege,b737,Boeing 737-7FB,Republic of Guinea Ecuatorial
042088,3c-qqh,e145,Embraer ERJ-145EP,Equatorial Guinea Government
042819,3c-llu,b763,Boeing 767-306,Guinea Ecuatorial Airlines
0429da,3c-lly,b738,Boeing 737-8FB,Ceiba Intercontinental
0429db,3c-llw,b738,Boeing 737-8FB,Ceiba Intercontinental
04401d,9g-pel,dc86,Douglas DC-8-62F,Johnsons Air
044040,9g-sbc,b463,BAe 146-300,Starbow Airlines
04404c,9g-agl,b734,Boeing B737-4Q8,Air Ghana
049049,zu-fwy,d6sl,Amateur Factory D6 Sling S,Private owner
0493e0,n471as,73j,Boeing 737-990,Alaska Airlines
04c006,5y-kym,b733,Boeing 737-306,Kenya Airways
04c00b,5y-bux,d228,Dornier 228-200,Private owner
04c024,5y-kqe,b737,Boeing 737-76N,Kenya Airways
04c025,5y-kqf,b737,Boeing 737-76N,Kenya Airways
04c027,5y-kqh,b737,Boeing 737-7U8,Kenya Airways
04c02b,5y-kqx,b763,Boeing 767-36NER,Kenya Airways
04c02f,5y-kqu,b772,Boeing 777-2U8,Kenya Airways
04c030,5y-kyx,b763,Boeing 767-3P6ER,Kenya Airways
04c03b,5y-kyd,b738,Boeing 737-86N,Kenya Airways
04c041,5y-kyz,b772,Boeing 777-2U8,Kenya Airways
04c044,5y-kye,b738,Boeing 737-86N,Kenya Airways
04c045,5y-kyf,b738,Boeing 737-86N,Kenya Airways
04c047,5y-mng,c55b,Cessna 550 Citation Bravo,Private owner
04c061,5y-sir,c55b,Cessna 550 Citation Bravo,Private owner
04c0cd,5y-bzl,b734,Boeing 737-4B7,Jubba Airways
04c0e0,5y-ffd,e190,Embraer ERJ-190,Kenya Airways
04c0e2,5y-fff,e190,Embraer ERJ-190,Kenya Airways
04c0f0,5y-sia,f100,Fokker 100,Skyward International
04c0f4,5y-exr,be58,Beech 58 Baron,Everett Aviation
04c0fa,5y-kzz,b77w,Boeing 777-36N,Kenya Airways
04c106,5y-ffj,e190,Embraer ERJ-190,Kenya Airways
04c117,5y-kza,b788,Boeing 787-8 Dreamliner,Kenya Airways
04c118,5y-kzb,b788,Boeing 787-8 Dreamliner,Kenya Airways
04c119,5y-kzc,b788,Boeing 787-8 Dreamliner,Kenya Airways
04c11a,5y-kzd,b788,Boeing 787-8 Dreamliner,Kenya Airways
04c11b,5y-kze,b788,Boeing 787-8 Dreamliner,Kenya Airways
04c11c,5y-kzf,b788,Boeing 787-8 Dreamliner,Kenya Airways
04c11e,5y-kzx,b77w,Boeing 777-3U8,Kenya Airways
04c11f,5y-kzy,b77w,Boeing 777-36N,Kenya Airways
04c147,5y-cya,b738,Boeing 737-8HX,Kenya Airways
04c148,5y-cyb,b738,Boeing 737-8HX,Kenya Airways
04c149,5y-cyc,b738,Boeing 737-86N,Kenya Airways
04c14a,5y-cyd,b738,Boeing 737-8HX,Kenya Airways
04c14b,5y-cye,b738,Boeing 737-86N,Kenya Airways
04c159,5y-kzg,b788,Boeing 787-8 Dreamliner,Kenya Airways
04c15a,5y-kzh,b788,Boeing 787-8 Dreamliner,Kenya Airways
04c15b,5y-kzj,b788,Boeing 787-8 Dreamliner,Kenya Airways
053977,00000000,0000,Douglas DC-3C,ALCI Aviation
05400b,5r-eba,b738,Boeing 737-86N,Air Madagascar
05401f,5r-eaa,a343,Airbus A340-313,Air Madagascar
054025,5r-eja,at76,ATR 72-600,Air Madagascar
054026,5r-ejb,at76,ATR 72-600,Air Madagascar
058022,7q-stb,dhc5,De Havilland DHC-5D,Nyassa Air Taxi
05a001,8q-iar,dh8c,Dornier 228-212,Island Aviation Services
05a002,8q-iaq,dh8b,Bombardier Dash 8 Q200,Maldivian
05a004,8q-iap,dh8c,Bombardier Dash 8 Q300,Maldivian
05a006,8q-iao,dh8c,Bombardier Dash 8 Q300,Maldivian
05a00a,8q-mad,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a00d,8q-mah,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a00e,8q-mai,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a012,8q-mao,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a013,8q-map,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a016,8q-mat,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a01b,8q-oeq,dhc6,DHC6-100 Twin Otter,Maldivian Air Taxi
05a01d,8q-max,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a01f,8q-maw,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a020,8q-maz,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a021,8q-maf,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a023,8q-maj,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a024,8q-mbb,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a026,8q-mba,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a028,8q-tmu,dhc6,DHC6-300 Twin Otter,Trans Maldivian Airways
05a029,8q-tmv,dhc6,DHC6-300 Twin Otter,Trans Maldivian Airways
05a02a,8q-tmw,dhc6,DHC6-300 Twin Otter,Trans Maldivian Airways
05a02b,8q-mbc,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a02e,8q-mbd,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a02f,8q-mbe,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a035,8q-tab,dhc6,DHC6-300 Twin Otter,Trans Maldivian Airways
05a036,8q-tac,dhc6,DHC6-300 Twin Otter,Trans Maldivian Airways
05a037,8q-meg,b763,Boeing 767-3P6,Mega Maldives
05a038,8q-mbf,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
05a03c,8q-mbg,dhc6,DHC6-300 Twin Otter,Maldivian Air Taxi
